tweet_id,type,creation_date,date
1609419064346132481,retweeted,2023-01-01 05:19:41+00:00,2023-01-01
1609419515468877827,retweeted,2023-01-01 05:21:28+00:00,2023-01-01
1609419953375186945,tweet,2023-01-01 05:23:13+00:00,2023-01-01
1609420134170370048,tweet,2023-01-01 05:23:56+00:00,2023-01-01
1609421235863314436,replied_to,2023-01-01 05:28:18+00:00,2023-01-01
1609421558572879873,tweet,2023-01-01 05:29:35+00:00,2023-01-01
1609421670611042304,retweeted,2023-01-01 05:30:02+00:00,2023-01-01
1609422504766099456,tweet,2023-01-01 05:33:21+00:00,2023-01-01
1609423233408712704,retweeted,2023-01-01 05:36:15+00:00,2023-01-01
1609423296919142400,replied_to,2023-01-01 05:36:30+00:00,2023-01-01
1609423984801742850,retweeted,2023-01-01 05:39:14+00:00,2023-01-01
1609423996121976832,replied_to,2023-01-01 05:39:16+00:00,2023-01-01
1609424372112015361,retweeted,2023-01-01 05:40:46+00:00,2023-01-01
1609424783757946882,tweet,2023-01-01 05:42:24+00:00,2023-01-01
1609425730299138054,tweet,2023-01-01 05:46:10+00:00,2023-01-01
1609426119668953090,tweet,2023-01-01 05:47:43+00:00,2023-01-01
1609426263193550848,tweet,2023-01-01 05:48:17+00:00,2023-01-01
1609426975948681217,tweet,2023-01-01 05:51:07+00:00,2023-01-01
1609426983372431360,retweeted,2023-01-01 05:51:09+00:00,2023-01-01
1609427897386782721,retweeted,2023-01-01 05:54:47+00:00,2023-01-01
1609429127366606849,retweeted,2023-01-01 05:59:40+00:00,2023-01-01
1609429805178707968,tweet,2023-01-01 06:02:21+00:00,2023-01-01
1609429922371588096,tweet,2023-01-01 06:02:49+00:00,2023-01-01
1609429920102359040,tweet,2023-01-01 06:02:49+00:00,2023-01-01
1609430042324484097,retweeted,2023-01-01 06:03:18+00:00,2023-01-01
1609430661512982529,retweeted,2023-01-01 06:05:46+00:00,2023-01-01
1609431226472964104,retweeted,2023-01-01 06:08:00+00:00,2023-01-01
1609431520044883968,retweeted,2023-01-01 06:09:10+00:00,2023-01-01
1609431585719451648,tweet,2023-01-01 06:09:26+00:00,2023-01-01
1609431788593774597,tweet,2023-01-01 06:10:14+00:00,2023-01-01
1609432076599656448,tweet,2023-01-01 06:11:23+00:00,2023-01-01
1609432107549589505,retweeted,2023-01-01 06:11:30+00:00,2023-01-01
1609432104625995778,tweet,2023-01-01 06:11:30+00:00,2023-01-01
1609432146242048006,retweeted,2023-01-01 06:11:40+00:00,2023-01-01
1609433041872556032,retweeted,2023-01-01 06:15:13+00:00,2023-01-01
1609433059903823872,retweeted,2023-01-01 06:15:17+00:00,2023-01-01
1609433298979135488,retweeted,2023-01-01 06:16:14+00:00,2023-01-01
1609433803172233216,retweeted,2023-01-01 06:18:15+00:00,2023-01-01
1609434377691201536,retweeted,2023-01-01 06:20:32+00:00,2023-01-01
1609435028223848449,retweeted,2023-01-01 06:23:07+00:00,2023-01-01
1609435322252955654,retweeted,2023-01-01 06:24:17+00:00,2023-01-01
1609436448754925573,tweet,2023-01-01 06:28:45+00:00,2023-01-01
1609436899000598529,tweet,2023-01-01 06:30:33+00:00,2023-01-01
